cs_code,year,state,cs_name,total_deaths,population,covid_deaths,fitted_deaths
28CS001,2011,MS,Adams+Amite+Wilkinson,684,55160,0,669.9568928
28CS001,2012,MS,Adams+Amite+Wilkinson,656,54588,0,671.3425617
28CS001,2013,MS,Adams+Amite+Wilkinson,679,54307,0,686.5568233
28CS001,2014,MS,Adams+Amite+Wilkinson,702,53864,0,691.0189202
28CS001,2015,MS,Adams+Amite+Wilkinson,685,53203,0,692.1711161
28CS001,2016,MS,Adams+Amite+Wilkinson,723,53022,0,706.7297997
28CS001,2017,MS,Adams+Amite+Wilkinson,690,52765,0,710.7888172
28CS001,2018,MS,Adams+Amite+Wilkinson,731,52152,0,724.0598868
28CS001,2019,MS,Adams+Amite+Wilkinson,725,51620,0,722.3751821
28CS001,2020,MS,Adams+Amite+Wilkinson,832,51670,106,738.7621199
28CS002,2011,MS,Alcorn+Prentiss+Tishomingo,1009,82276,0,1018.510428
28CS002,2012,MS,Alcorn+Prentiss+Tishomingo,1029,82181,0,1033.59813
28CS002,2013,MS,Alcorn+Prentiss+Tishomingo,1046,82252,0,1045.526005
28CS002,2014,MS,Alcorn+Prentiss+Tishomingo,1058,82086,0,1055.512302
28CS002,2015,MS,Alcorn+Prentiss+Tishomingo,1097,82197,0,1069.573416
28CS002,2016,MS,Alcorn+Prentiss+Tishomingo,1062,82093,0,1076.420436
28CS002,2017,MS,Alcorn+Prentiss+Tishomingo,1107,81898,0,1096.12264
28CS002,2018,MS,Alcorn+Prentiss+Tishomingo,1099,81281,0,1094.211879
28CS002,2019,MS,Alcorn+Prentiss+Tishomingo,1095,81462,0,1112.524765
28CS002,2020,MS,Alcorn+Prentiss+Tishomingo,1306,81040,144,1124.174503
28CS003,2011,MS,Attala+Choctaw+Leake+Webster,682,61283,0,718.6640333
28CS003,2012,MS,Attala+Choctaw+Leake+Webster,709,60856,0,740.1688218
28CS003,2013,MS,Attala+Choctaw+Leake+Webster,773,60785,0,744.5837012
28CS003,2014,MS,Attala+Choctaw+Leake+Webster,768,60384,0,738.9501636
28CS003,2015,MS,Attala+Choctaw+Leake+Webster,768,59687,0,741.3399307
28CS003,2016,MS,Attala+Choctaw+Leake+Webster,790,59397,0,747.135193
28CS003,2017,MS,Attala+Choctaw+Leake+Webster,740,59258,0,751.6964419
28CS003,2018,MS,Attala+Choctaw+Leake+Webster,755,59172,0,771.0947706
28CS003,2019,MS,Attala+Choctaw+Leake+Webster,744,58859,0,775.3669439
28CS003,2020,MS,Attala+Choctaw+Leake+Webster,928,58885,142,788.7181758
28CS004,2011,MS,Benton+Marshall+Tippah,735,67509,0,744.9452179
28CS004,2012,MS,Benton+Marshall+Tippah,725,67106,0,758.6721101
28CS004,2013,MS,Benton+Marshall+Tippah,799,66949,0,772.8292685
28CS004,2014,MS,Benton+Marshall+Tippah,783,66440,0,769.1016277
28CS004,2015,MS,Benton+Marshall+Tippah,816,66064,0,781.6094121
28CS004,2016,MS,Benton+Marshall+Tippah,776,66095,0,790.7629852
28CS004,2017,MS,Benton+Marshall+Tippah,820,65798,0,810.0996993
28CS004,2018,MS,Benton+Marshall+Tippah,792,65718,0,816.3237336
28CS004,2019,MS,Benton+Marshall+Tippah,834,65568,0,835.6559455
28CS004,2020,MS,Benton+Marshall+Tippah,978,65420,125,841.8680291
28CS005,2011,MS,Bolivar+Sunflower,721,62328,0,685.8439623
28CS005,2012,MS,Bolivar+Sunflower,704,62404,0,707.4913067
28CS005,2013,MS,Bolivar+Sunflower,734,61885,0,719.2813123
28CS005,2014,MS,Bolivar+Sunflower,674,61223,0,720.1911622
28CS005,2015,MS,Bolivar+Sunflower,712,60107,0,730.9856775
28CS005,2016,MS,Bolivar+Sunflower,703,59042,0,723.9450235
28CS005,2017,MS,Bolivar+Sunflower,735,57860,0,723.5769894
28CS005,2018,MS,Bolivar+Sunflower,725,57326,0,723.2337108
28CS005,2019,MS,Bolivar+Sunflower,745,55738,0,718.4508553
28CS005,2020,MS,Bolivar+Sunflower,989,55189,156,718.4831409
28CS006,2011,MS,Calhoun+Chickasaw+Grenada,650,54008,0,656.893773
28CS006,2012,MS,Calhoun+Chickasaw+Grenada,645,53945,0,655.027626
28CS006,2013,MS,Calhoun+Chickasaw+Grenada,691,53621,0,662.59684
28CS006,2014,MS,Calhoun+Chickasaw+Grenada,646,53699,0,665.2430129
28CS006,2015,MS,Calhoun+Chickasaw+Grenada,708,53478,0,682.0464232
28CS006,2016,MS,Calhoun+Chickasaw+Grenada,659,52996,0,674.8112867
28CS006,2017,MS,Calhoun+Chickasaw+Grenada,677,52689,0,690.1524169
28CS006,2018,MS,Calhoun+Chickasaw+Grenada,716,52516,0,694.9359429
28CS006,2019,MS,Calhoun+Chickasaw+Grenada,684,52222,0,694.2926784
28CS006,2020,MS,Calhoun+Chickasaw+Grenada,877,52433,114,714.2494082
28CS007,2011,MS,Carroll+Leflore+Montgomery,659,53275,0,644.6247897
28CS007,2012,MS,Carroll+Leflore+Montgomery,635,51797,0,621.9706041
28CS007,2013,MS,Carroll+Leflore+Montgomery,628,51648,0,630.0242004
28CS007,2014,MS,Carroll+Leflore+Montgomery,616,51305,0,635.6762552
28CS007,2015,MS,Carroll+Leflore+Montgomery,621,50639,0,637.7819447
28CS007,2016,MS,Carroll+Leflore+Montgomery,644,50200,0,638.7956822
28CS007,2017,MS,Carroll+Leflore+Montgomery,601,49529,0,633.8660382
28CS007,2018,MS,Carroll+Leflore+Montgomery,658,48530,0,636.4340733
28CS007,2019,MS,Carroll+Leflore+Montgomery,641,47905,0,623.8264122
28CS007,2020,MS,Carroll+Leflore+Montgomery,919,47382,169,627.4378829
28CS008,2011,MS,Claiborne+Jefferson+Warren,668,65693,0,694.3091757
28CS008,2012,MS,Claiborne+Jefferson+Warren,684,65247,0,702.7719898
28CS008,2013,MS,Claiborne+Jefferson+Warren,670,65087,0,709.5977397
28CS008,2014,MS,Claiborne+Jefferson+Warren,732,64687,0,719.2008132
28CS008,2015,MS,Claiborne+Jefferson+Warren,789,64193,0,714.8621909
28CS008,2016,MS,Claiborne+Jefferson+Warren,775,63422,0,707.9128213
28CS008,2017,MS,Claiborne+Jefferson+Warren,730,62935,0,715.1319399
28CS008,2018,MS,Claiborne+Jefferson+Warren,714,62258,0,726.0810545
28CS008,2019,MS,Claiborne+Jefferson+Warren,657,61359,0,729.1322751
28CS008,2020,MS,Claiborne+Jefferson+Warren,902,60827,126,743.4066349
28CS009,2011,MS,Clarke+Jasper+Wayne,637,54175,0,643.111498
28CS009,2012,MS,Clarke+Jasper+Wayne,651,53709,0,634.8953253
28CS009,2013,MS,Clarke+Jasper+Wayne,580,53374,0,633.1325758
28CS009,2014,MS,Clarke+Jasper+Wayne,657,53268,0,649.4857662
28CS009,2015,MS,Clarke+Jasper+Wayne,672,53073,0,638.7972544
28CS009,2016,MS,Clarke+Jasper+Wayne,669,52944,0,639.7938237
28CS009,2017,MS,Clarke+Jasper+Wayne,644,52809,0,644.0904256
28CS009,2018,MS,Clarke+Jasper+Wayne,645,52306,0,647.8651135
28CS009,2019,MS,Clarke+Jasper+Wayne,626,52107,0,649.8282175
28CS009,2020,MS,Clarke+Jasper+Wayne,763,51418,114,650.002311
28CS010,2011,MS,Clay+Oktibbeha,503,68260,0,508.726797
28CS010,2012,MS,Clay+Oktibbeha,494,69219,0,521.0267613
28CS010,2013,MS,Clay+Oktibbeha,536,69460,0,533.1431556
28CS010,2014,MS,Clay+Oktibbeha,554,69207,0,535.1752105
